Depth,Quartz,Calcite/Aragonite,Dolomite,Ankerite,Siderite,Dawsonite,Total K-feldspars,Orthoclase,Sanidine,Microcline,Anorthoclase,Total Plagioclase,Albite,Oligoclase,Andesine,Labradorite,Bytownite,Anorthite,Buddingtonite,Muscovite,Illite,Montmorillonite,Clinochlore,Kaolinite,Biotite,Glauconite,Pyrite,Hornblende,API Number,Chlorite,Smectite,Illite Smectite mix,Illite Smectite Mix,Dolomite+,Apatite,Barite,Illite/Mica,Fe Calcite,Fe Dolomite,Dolomite*,Albite.1
10571.5,36.0,0.0,,13.0,,,2.0,,,,,6.0,,,,,,,,1.0,,,,0.0,7.0,,1.0,,49-037-23786,,,,,,,,,,,,
10581.3,34.0,8.0,,7.0,,,1.0,,,,,6.0,,,,,,,,0.0,,,,,7.0,,1.0,,49-037-23786,,,,,,,,,,,,
10588.2,44.0,3.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,1.0,,1.0,,49-037-23786,,,,,,,,,,,,
10597.8,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,49-037-23786,,,,,,,,,,,,
10614.3,54.0,2.0,,,,,0.0,,,,,0.0,,,,,,,,1.0,,,,0.0,0.0,,0.0,,49-037-23786,,,,,,,,,,,,
10175,30.0,1.0,,,0.0,,2.0,,,,,10.0,,,,,,,,,21.0,,,0.0,,,2.0,,49-037-26167,1.0,,,,,,,,,,4.0,
10180,54.0,1.0,,,0.0,,6.0,,,,,21.0,,,,,,,,,0.0,,,0.0,,,1.0,,49-037-26167,0.0,,,,,,,,,,6.0,
10412,58.0,3.0,,,0.0,,6.0,,,,,16.0,,,,,,,,,3.0,,,0.0,,,0.0,,49-037-26167,1.0,,,,,,,,,,4.0,
10476,26.0,1.0,,,0.0,,2.0,,,,,8.0,,,,,,,,,16.0,,,0.0,,,5.0,,49-037-26167,1.0,,,,,,,,,,4.0,
10496,60.0,2.0,,,0.0,,3.0,,,,,18.0,,,,,,,,,3.0,,,0.0,,,0.0,,49-037-26167,1.0,,,,,,,,,,3.0,
10750,55.0,2.0,,,0.0,,8.0,,,,,19.0,,,,,,,,,0.0,,,0.0,,,0.0,,49-037-26167,0.0,,,,,,,,,,4.0,
12790,63.0,3.0,,,0.0,,3.0,,,,,7.0,,,,,,,,,2.0,,,0.0,,,0.0,,49-037-26167,0.0,,,,,,,,,,10.0,
13284,72.0,3.0,,,0.0,,5.0,,,,,10.0,,,,,,,,,1.0,,,0.0,,,0.0,,49-037-26167,1.0,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-26167,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-26167,,,,,,,,,,,,
*= Dolomite species added together.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-26167,,,,,,,,,,,,
